날짜,종가_OIL_GSL,전일대비_OIL_GSL,등략율_OIL_GSL
2018.07.06,1608.89,0.22,+ 0.01%
2018.07.05,1608.67,0.18,+ 0.01%
2018.07.04,1608.49,0.3,+ 0.02%
2018.07.03,1608.19,0.36,+ 0.02%
2018.07.02,1607.83,0.17,+ 0.01%
2018.07.01,1607.66,0.03,+ 0.00%
2018.06.30,1607.63,0.03,+ 0.00%
2018.06.29,1607.5,0.06,-0.00%
2018.06.28,1607.56,0.05,-0.00%
2018.06.27,1607.61,0.12,-0.01%
2018.06.26,1607.73,0.29,-0.02%
2018.06.25,1608.02,0.04,-0.00%
2018.06.24,1608.06,0.06,-0.00%
2018.06.23,1608.12,0.2,-0.01%
2018.06.22,1608.32,0.26,-0.02%
2018.06.21,1608.58,0.31,-0.02%
2018.06.20,1608.89,0.27,-0.02%
2018.06.19,1609.16,0.16,-0.01%
2018.06.18,1609.32,0.23,-0.01%
2018.06.17,1609.55,0.04,-0.00%
2018.06.16,1609.59,0.15,-0.01%
2018.06.15,1609.74,0.23,-0.01%
2018.06.14,1609.97,0.06,-0.00%
2018.06.13,1610.03,0.15,-0.01%
2018.06.12,1610.18,0.08,-0.00%
2018.06.11,1610.26,0.12,+ 0.01%
2018.06.10,1610.14,0.05,-0.00%
2018.06.09,1610.19,0.05,-0.00%
2018.06.07,1610.24,0.27,+ 0.02%
2018.06.06,1609.97,0.27,+ 0.02%
2018.06.05,1609.7,0.2,+ 0.01%
2018.06.04,1609.5,0.34,+ 0.02%
2018.06.03,1609.16,0.27,+ 0.02%
2018.06.02,1608.89,0.46,+ 0.03%
2018.06.01,1608.43,1.19,+ 0.07%
2018.05.31,1607.24,0.56,+ 0.03%
2018.05.30,1606.46,0.88,+ 0.05%
2018.05.29,1605.58,2.06,+ 0.13%
2018.05.28,1603.52,1.46,+ 0.09%
2018.05.27,1602.06,1.15,+ 0.07%
2018.05.26,1600.91,2.53,+ 0.16%
2018.05.25,1598.38,3.25,+ 0.20%
2018.05.24,1595.13,3.16,+ 0.20%
2018.05.23,1591.97,1.77,+ 0.11%
2018.05.22,1589.64,2.21,+ 0.14%
2018.05.21,1586.53,0.63,+ 0.04%
2018.05.20,1585.9,0.98,+ 0.06%
2018.05.19,1584.92,1.91,+ 0.12%
2018.05.18,1583.01,1.85,+ 0.12%
2018.05.17,1581.16,1.7,+ 0.11%
2018.05.16,1579.46,2.19,+ 0.14%
2018.05.15,1577.27,2.6,+ 0.17%
2018.05.14,1574.67,1.5,+ 0.10%
2018.05.13,1573.17,1.04,+ 0.07%
2018.05.12,1572.13,2.24,+ 0.14%
2018.05.11,1569.89,2.57,+ 0.16%
2018.05.10,1567.32,2.0,+ 0.13%
2018.05.09,1565.31,1.72,+ 0.11%
2018.05.08,1563.59,0.86,+ 0.06%
2018.05.07,1562.73,0.65,+ 0.04%
2018.05.06,1562.08,0.53,+ 0.03%
2018.05.05,1561.55,1.25,+ 0.08%
2018.05.04,1560.3,0.93,+ 0.06%
2018.05.03,1559.37,0.91,+ 0.06%
2018.05.02,1558.46,0.8,+ 0.05%
2018.05.01,1557.66,2.01,+ 0.13%
2018.04.30,1555.65,0.51,+ 0.03%
2018.04.29,1555.14,0.36,+ 0.02%
2018.04.28,1554.78,0.63,+ 0.04%
2018.04.27,1554.01,0.68,+ 0.04%
2018.04.26,1553.33,0.57,+ 0.04%
2018.04.25,1552.76,0.54,+ 0.03%
2018.04.24,1552.22,0.53,+ 0.03%
2018.04.23,1551.69,0.35,+ 0.02%
2018.04.22,1551.34,0.14,+ 0.01%
2018.04.21,1551.2,0.37,+ 0.02%
2018.04.20,1550.83,0.44,+ 0.03%
2018.04.19,1550.39,0.28,+ 0.02%
2018.04.18,1550.11,0.11,+ 0.01%
2018.04.17,1550.0,0.28,+ 0.02%
2018.04.16,1549.72,0.04,+ 0.00%
2018.04.15,1549.68,0.03,+ 0.00%
2018.04.14,1549.65,0.01,+ 0.00%
2018.04.13,1549.64,0.05,-0.00%
2018.04.12,1549.69,0.04,-0.00%
2018.04.11,1549.73,0.31,-0.02%
2018.04.10,1550.04,0.3,-0.02%
2018.04.09,1550.34,0.11,-0.01%
2018.04.08,1550.45,0.07,-0.00%
2018.04.07,1550.52,0.17,-0.01%
2018.04.06,1550.69,0.22,-0.01%
2018.04.05,1550.91,0.19,-0.01%
2018.04.04,1551.1,0.19,-0.01%
2018.04.03,1551.29,0.0,0.00%
2018.04.02,1551.29,0.33,-0.02%
2018.04.01,1551.62,0.24,-0.02%
2018.03.31,1551.86,0.23,-0.01%
2018.03.30,1552.09,0.32,-0.02%
2018.03.29,1552.41,0.35,-0.02%
2018.03.28,1552.76,0.27,-0.02%
2018.03.27,1553.03,0.09,+ 0.01%
2018.03.26,1552.94,0.29,-0.02%
2018.03.25,1553.23,0.13,-0.01%
2018.03.24,1553.36,0.31,-0.02%
2018.03.23,1553.67,0.53,-0.03%
