회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
이루온,65440,소프트웨어 개발 및 공급업,이동통신 핵심망 및 서비스망 솔루션 개발 공급,2003-01-28,12월,"이승구, 이영성 (각자 대표이사)",http://eluon.com,경기도
이엑스티,226360,토목 건설업,기업인수합병,2015-10-22,12월,강정식,,서울특별시
이엘케이,94190,전자부품 제조업,터치패널모듈,2007-10-29,12월,신동혁,http://www.elk.co.kr,대전광역시
이지케어텍,99750,소프트웨어 개발 및 공급업,의료정보시스템,2019-03-22,03월,위원량,http://www.ezcaretech.com,서울특별시
인터로조,119610,사진장비 및 광학기기 제조업,"콘텍트렌즈(소프트렌즈, 원데이렌즈, 하드렌즈 등)",2010-07-28,12월,노시철,http://interojo.com,경기도
인터플렉스,51370,전자부품 제조업,연성회로기판(Flexible PCB),2003-01-22,12월,백동원,http://www.interflex.co.kr,경기도
일야,58450,통신 및 방송 장비 제조업,"컴퓨터, 복사기 등의 부품",2002-01-17,12월,강정훈,http://www.ilya.co.kr,인천광역시
전파기지국,65530,전기 통신업,공용기지국건설/관리,2002-06-04,12월,"장석하, 김문환(각자대표이사)",http://www.krtnet.co.kr,서울특별시
제낙스,65620,1차 철강 제조업,"2차전지,금속섬유,스테인레스 와이어",2002-06-27,12월,신이현,http://jenaxinc.com,부산광역시
제노레이,122310,의료용 기기 제조업,의료용 방사선 진단기기,2018-05-28,12월,박병욱,http://www.genoray.com,경기도
제노포커스,187420,기초 의약물질 및 생물학적 제제 제조업,산업용 효소,2015-05-29,12월,김의중,http://www.genofocus.com,대전광역시
제로투세븐,159580,생활용품 도매업,유아동복 및 용품,2013-02-19,12월,"김정민, 조성철, 이충하 (각자 대표이사)",http://www.0to7.com,서울특별시
제룡전기,33100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","송배전용금구류,변압기",1997-08-18,12월,박종태,http://www.cheryong.co.kr,서울특별시
제이씨현시스템,33320,기계장비 및 관련 물품 도매업,"메인보드, 그래픽카드",1997-11-10,12월,"차현배, 차중석",http://www.jchyun.com,서울특별시
젬백스,82270,특수 목적용 기계 제조업,"ChemicalAirFilter,GasScrubber",2005-06-24,12월,"김상재, 송형곤",http://www.kael.co.kr,대전광역시
중앙오션,54180,선박 및 보트 건조업,XML/SGML 관련 제품 및 솔루션,2001-10-16,06월,"임광덕, 김준형(각자대표)",http://www.megabion.co.kr,서울특별시
지스마트글로벌,114570,반도체 제조업,CMOS 이미지센서,2010-02-04,12월,이주석,,서울특별시
체리부로,66360,"도축, 육류 가공 및 저장 처리업","육계, 사료",2017-12-04,12월,김인식,http://www.cherrybro.com,충청북도
초록뱀,47820,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작 및 공급,2002-12-24,12월,"김상헌,조형진 (각자대표이사)",http://www.chorokbaem.com,서울특별시
케이맥,43290,특수 목적용 기계 제조업,"FPD, 반도체 공정용 검사장비 및 바이오/의료진단기기, Lab용 분석기기",2011-10-25,12월,이재원,,대전광역시
케이아이엔엑스,93320,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷연동서비스 등,2011-02-08,12월,"이선영, 김지욱",http://www.kinx.net,서울특별시
케이엔더블유,105330,전자부품 제조업,"Blanket, DOF, 보호필름",2009-09-29,12월,오원석,http://www.knwkorea.com,경기도
코너스톤네트웍스,33110,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자계측기,1997-08-18,12월,"이호풍,박용후(각자 대표이사)",http://www.ed.co.kr,경기도
코드네이처,78940,전기 및 통신 공사업,전기공사업,2004-08-27,12월,박상훈,http://codenature.com,서울특별시
코렌텍,104540,의료용 기기 제조업,"인공고관절, 인공슬관절 등",2013-03-05,12월,"선두훈,선승훈(각자 대표이사)",http://www.corentec.com,충청남도
코맥스,36690,통신 및 방송 장비 제조업,"홈네트워크시스템,CCTV 방송설비",2000-01-18,12월,"변봉덕, 변우석(공동 대표이사)",http://www.commax.com,경기도
코세스,89890,특수 목적용 기계 제조업,반도체SolderBall부착장비등,2006-11-08,12월,박명순,http://www.koses.co.kr,경기도
코스맥스엔비티,222040,기타 식품 제조업,건강기능식품,2015-12-16,12월,이윤종,http://www.nutribiotech.co.kr,서울특별시
코스메카코리아,241710,기타 화학제품 제조업,"화장품 OEM, ODM",2016-10-28,12월,"조임래, 박은희 (공동대표)",http://www.cosmecca.com,충청북도
코엔텍,29960,폐기물 처리업,산업폐기물 소각/매립처리,2004-06-18,12월,이민석,http://www.koentec.co.kr,울산광역시
코텍,52330,영상 및 음향기기 제조업,"Touch Screen Monitor, 산업용 CRT Monitor",2001-07-10,12월,김영달,http://www.kortek.co.kr,인천광역시
큐리언트,115180,자연과학 및 공학 연구개발업,저분자 혁신신약,2016-02-29,12월,남기연,http://www.qurient.com,경기도
